student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,stdnt_major,guardian,travel_time,study_time,unique_quality,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade
1,GP,F,18,Urban,Greater than 3,Apart,higher education,higher education,at_home,teacher,course,Mathematics,mother,15 to 30 min.,2 to 5 hours,Wildlife conservationist,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11
2,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,course,Art,father,<15 min.,2 to 5 hours,Virtuoso musician,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11
3,GP,F,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,other,Political Science,mother,<15 min.,2 to 5 hours,Graphic design guru,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12
4,GP,F,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,home,Biology,mother,<15 min.,5 to 10 hours,Kite flying enthusiast,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
5,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,home,Biology,father,<15 min.,2 to 5 hours,A natural leader,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13
6,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,other,reputation,Accounting,mother,<15 min.,2 to 5 hours,Classical music connoisseur,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13
7,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,Criminal Justice,mother,<15 min.,2 to 5 hours,Craft beer enthusiast,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13
8,GP,F,17,Urban,Greater than 3,Apart,higher education,higher education,other,teacher,home,Biology,mother,15 to 30 min.,2 to 5 hours,Creative writer,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13
9,GP,M,15,Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,home,Psychology,mother,<15 min.,2 to 5 hours,Nature guide,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17
10,GP,M,15,Urban,Greater than 3,Living together,secondary education,higher education,other,other,home,Theatre Arts,mother,<15 min.,2 to 5 hours,Artistically gifted,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13
